pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_0_name,substrates_0_amountUsed,inks_0_color,inks_0_amountUsed,inks_0_inkSerialNumber,inks_1_color,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber
47200165,IMP_2345902.pdf,Chicago,2,16,2,2024-03-06T16:52:19.000+00:00,2024-03-06T16:52:31.000+00:00,2024-03-06T16:52:19.000,2024-03-06T16:52:31.000,0,331,No,47200165_1709615_1709673680000_1709673680000,482.6,62773841-83fc-4251-aa11-864a43545e15,212838701,0,A3,True,0,0,0,16,IMPRESSIONS,12,PRINTED,,2,SHEETS,RLM-724912- 100# velvet cover 13x19,2.0,Yellow,4.0,EF053Y0020JWU6,Cyan,4.0,EF013Y9797G78Z,Magenta,4.0,EF033Y5936LZ19,Black,4.0,ef073y6567gdev,,,
47200165,IMP_2348649.pdf,Chicago,13,50,13,2024-03-06T16:33:59.000+00:00,2024-03-06T16:34:27.000+00:00,2024-03-06T16:33:59.000,2024-03-06T16:34:27.000,0,331,No,47200165_1715736_1709742867000_1709742867000,482.6,62773841-83fc-4251-aa11-864a43545e15,212832202,0,A3,False,0,0,1,49,IMPRESSIONS,28,PRINTED,,13,SHEETS,PSP-130015965-16pt Coated Gloss Cover,13.0,Yellow,12.0,EF053Y0020JWU6,Cyan,12.0,EF013Y9797G78Z,Magenta,13.0,EF033Y5936LZ19,Black,13.0,ef073y6567gdev,,,
47200165,IMP_2345798.pdf,Chicago,14,106,14,2024-03-06T16:30:52.000+00:00,2024-03-06T16:31:48.000+00:00,2024-03-06T16:30:52.000,2024-03-06T16:31:48.000,0,331,No,47200165_1715557_1709740795000_1709740795000,482.6,62773841-83fc-4251-aa11-864a43545e15,212832200,0,A3,True,0,0,1,105,IMPRESSIONS,56,PRINTED,,14,SHEETS,RLM-726813 -80# Uncoated Cover 13x19,14.0,Yellow,26.0,EF053Y0020JWU6,Cyan,26.0,EF013Y9797G78Z,Magenta,27.0,EF033Y5936LZ19,Black,27.0,ef073y6567gdev,,,
47200165,IMP_2348884.pdf,Chicago,23,178,23,2024-03-06T16:33:03.000+00:00,2024-03-06T16:34:05.000+00:00,2024-03-06T16:33:03.000,2024-03-06T16:34:05.000,0,331,No,47200165_1715706_1709742726000_1709742726000,482.6,62773841-83fc-4251-aa11-864a43545e15,212832199,0,A3,True,0,0,1,177,IMPRESSIONS,62,PRINTED,,23,SHEETS,PSP-130015965-16pt Coated Gloss Cover,23.0,Yellow,44.0,EF053Y0020JWU6,Cyan,44.0,EF013Y9797G78Z,Magenta,45.0,EF033Y5936LZ19,Black,45.0,ef073y6567gdev,,,
47200165,IMP_2345393.pdf,Chicago,13,98,13,2024-03-06T16:34:19.000+00:00,2024-03-06T16:34:57.000+00:00,2024-03-06T16:34:19.000,2024-03-06T16:34:57.000,0,331,No,47200165_1715744_1709742897000_1709742897000,482.6,62773841-83fc-4251-aa11-864a43545e15,212832198,0,A3,True,0,0,1,97,IMPRESSIONS,38,PRINTED,,13,SHEETS,PSP-130015965-16pt Coated Gloss Cover,13.0,Yellow,24.0,EF053Y0020JWU6,Cyan,24.0,EF013Y9797G78Z,Magenta,25.0,EF033Y5936LZ19,Black,25.0,ef073y6567gdev,,,
47200165,IMP_2345719.pdf,Chicago,0,0,0,2024-03-06T16:36:53.000+00:00,2024-03-06T16:36:56.000+00:00,2024-03-06T16:36:53.000,2024-03-06T16:36:56.000,0,331,No,47200165_1715761_1709742961000_1709742961000,482.6,62773841-83fc-4251-aa11-864a43545e15,212832197,-1,A3,False,0,0,0,0,IMPRESSIONS,3,ABORTED,,,,,,,,,,,,,,,,,,,,
47200165,IMP_2345719.pdf,Chicago,0,0,0,2024-03-06T16:36:28.000+00:00,2024-03-06T16:36:33.000+00:00,2024-03-06T16:36:28.000,2024-03-06T16:36:33.000,0,331,No,47200165_1715761_1709742961000_1709742961000,482.6,62773841-83fc-4251-aa11-864a43545e15,212828445,-1,A3,False,0,0,0,0,IMPRESSIONS,5,ABORTED,,,,,,,,,,,,,,,,,,,,
47200165,IMP_2345719.pdf,Chicago,0,0,0,2024-03-06T16:35:56.000+00:00,2024-03-06T16:36:01.000+00:00,2024-03-06T16:35:56.000,2024-03-06T16:36:01.000,0,331,No,47200165_1715761_1709742961000_1709742961000,482.6,62773841-83fc-4251-aa11-864a43545e15,212828444,-1,A3,False,0,0,0,0,IMPRESSIONS,5,ABORTED,,,,,,,,,,,,,,,,,,,,
47200165,IMP_2348884.pdf,Chicago,2,16,2,2024-03-06T16:31:54.000+00:00,2024-03-06T16:32:06.000+00:00,2024-03-06T16:31:54.000,2024-03-06T16:32:06.000,0,331,No,47200165_1715706_1709742726000_1709742726000,482.6,62773841-83fc-4251-aa11-864a43545e15,212828443,0,A3,True,0,0,0,16,IMPRESSIONS,12,PRINTED,,2,SHEETS,PSP-130015965-16pt Coated Gloss Cover,2.0,Yellow,4.0,EF053Y0020JWU6,Cyan,4.0,EF013Y9797G78Z,Magenta,4.0,EF033Y5936LZ19,Black,4.0,ef073y6567gdev,,,
47200165,IMP_2345798.pdf,Chicago,62,496,62,2024-03-06T16:27:08.000+00:00,2024-03-06T16:29:34.000+00:00,2024-03-06T16:27:08.000,2024-03-06T16:29:34.000,0,331,No,47200165_1715557_1709740795000_1709740795000,482.6,62773841-83fc-4251-aa11-864a43545e15,212828442,0,A3,True,0,0,0,496,IMPRESSIONS,146,ABORTED,,62,SHEETS,RLM-726813 -80# Uncoated Cover 13x19,62.0,Yellow,124.0,EF053Y0020JWU6,Cyan,124.0,EF013Y9797G78Z,Magenta,124.0,EF033Y5936LZ19,Black,124.0,ef073y6567gdev,,,
47200165,IMP_2345798.pdf,Chicago,260,2080,260,2024-03-06T16:17:45.000+00:00,2024-03-06T16:26:49.000+00:00,2024-03-06T16:17:45.000,2024-03-06T16:26:49.000,0,331,No,47200165_1715557_1709740795000_1709740795000,482.6,62773841-83fc-4251-aa11-864a43545e15,212821802,0,A3,True,0,0,0,2080,IMPRESSIONS,544,ABORTED,,260,SHEETS,RLM-726813 -80# Uncoated Cover 13x19,260.0,Yellow,520.0,EF053Y0020JWU6,Cyan,520.0,EF013Y9797G78Z,Magenta,520.0,EF033Y5936LZ19,Black,520.0,ef073y6567gdev,,,
47200165,IMP_2346855.pdf,Chicago,61,482,61,2024-03-06T16:12:25.000+00:00,2024-03-06T16:15:01.000+00:00,2024-03-06T16:12:25.000,2024-03-06T16:15:01.000,0,330,No,47200165_1715570_1709741218000_1709741218000,482.9,62773841-83fc-4251-aa11-864a43545e15,212818595,0,A3,True,0,0,1,481,IMPRESSIONS,156,PRINTED,,61,SHEETS,RLM-724812-80# Velvet Cover 13x19,61.0,Yellow,120.0,EF052Y84134FK3,Cyan,120.0,EF013Y9797W2UT,Magenta,121.0,EF033Y5936FI8V,Black,121.0,ef073y6567gdev,,,
47200165,IMP_2346855.pdf,Chicago,2,16,2,2024-03-06T16:06:40.000+00:00,2024-03-06T16:06:58.000+00:00,2024-03-06T16:06:40.000,2024-03-06T16:06:58.000,0,330,No,47200165_1715570_1709741218000_1709741218000,482.9,62773841-83fc-4251-aa11-864a43545e15,212818592,0,A3,True,0,0,0,16,IMPRESSIONS,18,PRINTED,,2,SHEETS,RLM-724812-80# Velvet Cover 13x19,2.0,Yellow,4.0,EF052Y84134FK3,Cyan,4.0,EF013Y9797W2UT,Magenta,4.0,EF033Y5936FI8V,Black,4.0,ef073y6567gdev,,,
47200165,IMP_2348720_PS.pdf,Chicago,2,20,2,2024-03-06T15:53:49.000+00:00,2024-03-06T15:54:23.000+00:00,2024-03-06T15:53:49.000,2024-03-06T15:54:23.000,0,330,No,47200165_1715546_1709740463000_1709740463000,482.9,62773841-83fc-4251-aa11-864a43545e15,212811639,0,A3,True,0,0,0,20,IMPRESSIONS,34,PRINTED,,2,SHEETS,RLM-724812-80# Velvet Cover 13x19,2.0,Yellow,4.0,EF052Y84134FK3,P425CR,4.0,None,Black,4.0,ef073y6567gdev,Magenta,4.0,EF033Y5936FI8V,Cyan,4.0,EF013Y9797W2UT
47200165,IMP_2345798.pdf,Chicago,2,16,2,2024-03-06T15:59:45.000+00:00,2024-03-06T15:59:55.000+00:00,2024-03-06T15:59:45.000,2024-03-06T15:59:55.000,0,331,No,47200165_1715557_1709740795000_1709740795000,482.6,62773841-83fc-4251-aa11-864a43545e15,212811638,0,A3,True,0,0,0,16,IMPRESSIONS,10,PRINTED,,2,SHEETS,RLM-726813 -80# Uncoated Cover 13x19,2.0,Yellow,4.0,EF052Y84134FK3,Cyan,4.0,EF013Y9797W2UT,Magenta,4.0,EF033Y5936FI8V,Black,4.0,ef073y6567gdev,,,
47200165,IMP_2348728_PS.pdf,Chicago,130,1292,130,2024-03-06T15:17:20.000+00:00,2024-03-06T15:23:21.000+00:00,2024-03-06T15:17:20.000,2024-03-06T15:23:21.000,0,330,No,47200165_1712029_1709706078000_1709706078000,483.0,62773841-83fc-4251-aa11-864a43545e15,212808199,0,A3,True,0,0,1,1291,IMPRESSIONS,361,PRINTED,,130,SHEETS,RLM-726913-100# Uncoated Cover 13x19,130.0,Yellow,258.0,EF052Y84134FK3,P425CR,258.0,None,Black,259.0,ef073y6567gdev,Magenta,259.0,EF033Y5936FI8V,Cyan,258.0,EF013Y9797W2UT
47200165,IMP_2348728_PS.pdf,Chicago,119,1193,119,2024-03-06T15:05:21.000+00:00,2024-03-06T15:10:58.000+00:00,2024-03-06T15:05:21.000,2024-03-06T15:10:58.000,0,330,No,47200165_1712029_1709706078000_1709706078000,483.0,62773841-83fc-4251-aa11-864a43545e15,212786688,0,A3,True,0,0,0,1193,IMPRESSIONS,337,ABORTED,,119,SHEETS,RLM-726913-100# Uncoated Cover 13x19,119.0,Yellow,239.0,EF052Y84134FK3,P425CR,238.0,None,Black,238.0,ef073y6567gdev,Magenta,239.0,EF033Y5936FI8V,Cyan,239.0,EF013Y9797W2UT
47200165,IMP_2348728_PS.pdf,Chicago,17,170,17,2024-03-06T15:03:45.000+00:00,2024-03-06T15:04:32.000+00:00,2024-03-06T15:03:45.000,2024-03-06T15:04:32.000,0,330,No,47200165_1712029_1709706078000_1709706078000,483.0,62773841-83fc-4251-aa11-864a43545e15,212783192,0,A3,True,0,0,0,170,IMPRESSIONS,47,ABORTED,,17,SHEETS,RLM-726913-100# Uncoated Cover 13x19,17.0,Yellow,34.0,EF052Y84134FK3,P425CR,34.0,None,Black,34.0,ef073y6567gdev,Magenta,34.0,EF033Y5936FI8V,Cyan,34.0,EF013Y9797W2UT
47200165,IMP_2348728_PS.pdf,Chicago,2,20,2,2024-03-06T14:56:44.000+00:00,2024-03-06T14:56:58.000+00:00,2024-03-06T14:56:44.000,2024-03-06T14:56:58.000,0,330,No,47200165_1712029_1709706078000_1709706078000,483.0,62773841-83fc-4251-aa11-864a43545e15,212776089,0,A3,True,0,0,0,20,IMPRESSIONS,14,PRINTED,,2,SHEETS,RLM-726913-100# Uncoated Cover 13x19,2.0,Yellow,4.0,EF052Y84134FK3,P425CR,4.0,None,Black,4.0,ef073y6567gdev,Magenta,4.0,EF033Y5936FI8V,Cyan,4.0,EF013Y9797W2UT
47200165,11788049_130016592_JDF,Chicago,2,16,2,2024-03-06T14:43:39.000+00:00,2024-03-06T14:44:14.000+00:00,2024-03-06T14:43:39.000,2024-03-06T14:44:14.000,0,331,No,47200165_1715307_1709736170000_1709736170000,482.6,62773841-83fc-4251-aa11-864a43545e15,212776088,0,A3,True,0,0,0,16,IMPRESSIONS,35,PRINTED,,2,SHEETS,PSP-130016592-14pt C2S Gloss Cover,2.0,Yellow,4.0,EF052Y84134FK3,Cyan,4.0,EF013Y9797W2UT,Magenta,4.0,EF033Y5936FI8V,Black,4.0,ef073y6567gdev,,,
47200165,DBFGV7_130016057_JDF,Chicago,2,16,2,2024-03-06T14:44:29.000+00:00,2024-03-06T14:45:03.000+00:00,2024-03-06T14:44:29.000,2024-03-06T14:45:03.000,0,305,No,47200165_1715326_1709736303000_1709736303000,457.2,62773841-83fc-4251-aa11-864a43545e15,212776087,0,A3,True,0,0,0,16,IMPRESSIONS,34,PRINTED,,2,SHEETS,PSP-130016407-80# Brilliant White Linen 12x18,2.0,Yellow,4.0,EF052Y84134FK3,Cyan,4.0,EF013Y9797W2UT,Magenta,4.0,EF033Y5936FI8V,Black,4.0,ef073y6567gdev,,,
47200165,11788049_130016592_JDF,Chicago,2,16,2,2024-03-06T14:42:15.000+00:00,2024-03-06T14:42:50.000+00:00,2024-03-06T14:42:15.000,2024-03-06T14:42:50.000,0,331,No,47200165_1715307_1709736170000_1709736170000,482.6,62773841-83fc-4251-aa11-864a43545e15,212771678,0,A3,True,0,0,0,16,IMPRESSIONS,35,PRINTED,,2,SHEETS,PSP-130016592-14pt C2S Gloss Cover,2.0,Yellow,4.0,EF052Y84134FK3,Cyan,4.0,EF013Y9797W2UT,Magenta,4.0,EF033Y5936FI8V,Black,4.0,ef073y6567gdev,,,
47200165,IMP_2345933.pdf,Chicago,26,202,26,2024-03-06T13:29:34.000+00:00,2024-03-06T13:30:31.000+00:00,2024-03-06T13:29:34.000,2024-03-06T13:30:31.000,0,330,No,47200165_1714904_1709731831000_1709731831000,483.0,62773841-83fc-4251-aa11-864a43545e15,212754499,0,A3,True,0,0,1,201,IMPRESSIONS,57,PRINTED,,26,SHEETS,RLM-726913-100# Uncoated Cover 13x19,26.0,Yellow,50.0,EF052Y84134FK3,Cyan,50.0,EF013Y9797W2UT,Magenta,51.0,EF033Y5936FI8V,Black,51.0,ef073y6567gdev,,,
47200165,IMP_2348878_PS.pdf,Chicago,23,112,23,2024-03-06T13:36:16.000+00:00,2024-03-06T13:36:51.000+00:00,2024-03-06T13:36:16.000,2024-03-06T13:36:51.000,0,305,No,47200165_1715011_1709732211000_1709732211000,457.2,62773841-83fc-4251-aa11-864a43545e15,212754498,0,A3,False,0,0,1,111,IMPRESSIONS,35,PRINTED,,23,SHEETS,RLM-726110-130# Uncoated Cover 12x18,23.0,Yellow,22.0,EF052Y84134FK3,P425CR,22.0,None,Black,23.0,ef073y6567gdev,Magenta,23.0,EF033Y5936FI8V,Cyan,22.0,EF013Y9797W2UT
47200165,IMP_2348342_PS.pdf,Chicago,23,222,23,2024-03-06T13:42:57.000+00:00,2024-03-06T13:44:13.000+00:00,2024-03-06T13:42:57.000,2024-03-06T13:44:13.000,0,305,No,47200165_1715118_1709732653000_1709732653000,457.2,62773841-83fc-4251-aa11-864a43545e15,212754497,0,A3,True,0,0,1,221,IMPRESSIONS,76,PRINTED,,23,SHEETS,RLM-726110-130# Uncoated Cover 12x18,23.0,Yellow,44.0,EF052Y84134FK3,P425CR,44.0,None,Black,45.0,ef073y6567gdev,Magenta,45.0,EF033Y5936FI8V,Cyan,44.0,EF013Y9797W2UT
47200165,IMP_2348428.pdf,Chicago,24,186,24,2024-03-06T13:27:01.000+00:00,2024-03-06T13:27:55.000+00:00,2024-03-06T13:27:01.000,2024-03-06T13:27:55.000,0,330,No,47200165_1714865_1709731675000_1709731675000,483.0,62773841-83fc-4251-aa11-864a43545e15,212754496,0,A3,True,0,0,1,185,IMPRESSIONS,54,PRINTED,,24,SHEETS,RLM-726913-100# Uncoated Cover 13x19,24.0,Yellow,46.0,EF052Y84134FK3,Cyan,46.0,EF013Y9797W2UT,Magenta,47.0,EF033Y5936FI8V,Black,47.0,ef073y6567gdev,,,
47200165,IMP_2348427.pdf,Chicago,24,186,24,2024-03-06T13:27:48.000+00:00,2024-03-06T13:28:46.000+00:00,2024-03-06T13:27:48.000,2024-03-06T13:28:46.000,0,330,No,47200165_1714879_1709731726000_1709731726000,483.0,62773841-83fc-4251-aa11-864a43545e15,212754495,0,A3,True,0,0,1,185,IMPRESSIONS,58,PRINTED,,24,SHEETS,RLM-726913-100# Uncoated Cover 13x19,24.0,Yellow,46.0,EF052Y84134FK3,Cyan,46.0,EF013Y9797W2UT,Magenta,47.0,EF033Y5936FI8V,Black,47.0,ef073y6567gdev,,,
47200165,IMP_2346671.pdf,Chicago,14,106,14,2024-03-06T13:29:07.000+00:00,2024-03-06T13:29:40.000+00:00,2024-03-06T13:29:07.000,2024-03-06T13:29:40.000,0,330,No,47200165_1714894_1709731780000_1709731780000,483.0,62773841-83fc-4251-aa11-864a43545e15,212754494,0,A3,True,0,0,1,105,IMPRESSIONS,33,PRINTED,,14,SHEETS,RLM-726913-100# Uncoated Cover 13x19,14.0,Yellow,26.0,EF052Y84134FK3,Cyan,26.0,EF013Y9797W2UT,Magenta,27.0,EF033Y5936FI8V,Black,27.0,ef073y6567gdev,,,
47200165,IMP_2348946_PS.pdf,Chicago,23,112,23,2024-03-06T13:32:10.000+00:00,2024-03-06T13:32:47.000+00:00,2024-03-06T13:32:10.000,2024-03-06T13:32:47.000,0,305,No,47200165_1714920_1709731967000_1709731967000,457.2,62773841-83fc-4251-aa11-864a43545e15,212754493,0,A3,False,0,0,1,111,IMPRESSIONS,37,PRINTED,,23,SHEETS,RLM-726110-130# Uncoated Cover 12x18,23.0,Yellow,22.0,EF052Y84134FK3,P425CR,22.0,None,Black,23.0,ef073y6567gdev,Magenta,23.0,EF033Y5936FI8V,Cyan,22.0,EF013Y9797W2UT
47200165,11788375_130016693_JDF,Chicago,12,46,12,2024-03-06T13:45:46.000+00:00,2024-03-06T13:46:22.000+00:00,2024-03-06T13:45:46.000,2024-03-06T13:46:22.000,0,305,No,47200165_1715161_1709732782000_1709732782000,456.7,62773841-83fc-4251-aa11-864a43545e15,212754492,0,A3,False,0,0,1,45,IMPRESSIONS,36,PRINTED,,12,SHEETS,PSP- 130016693-Vinyl Sticker (UV Coating),12.0,Yellow,11.0,EF052Y84134FK3,Cyan,11.0,EF013Y9797W2UT,Magenta,12.0,EF033Y5936FI8V,Black,12.0,ef073y6567gdev,,,
47200165,IMP_2346670.pdf,Chicago,14,106,14,2024-03-06T13:28:40.000+00:00,2024-03-06T13:29:14.000+00:00,2024-03-06T13:28:40.000,2024-03-06T13:29:14.000,0,330,No,47200165_1714887_1709731754000_1709731754000,483.0,62773841-83fc-4251-aa11-864a43545e15,212754491,0,A3,True,0,0,1,105,IMPRESSIONS,34,PRINTED,,14,SHEETS,RLM-726913-100# Uncoated Cover 13x19,14.0,Yellow,26.0,EF052Y84134FK3,Cyan,26.0,EF013Y9797W2UT,Magenta,27.0,EF033Y5936FI8V,Black,27.0,ef073y6567gdev,,,
47200165,11788258_130016693_JDF,Chicago,585,2338,585,2024-03-06T13:46:16.000+00:00,2024-03-06T13:56:39.000+00:00,2024-03-06T13:46:16.000,2024-03-06T13:56:39.000,0,305,No,47200165_1715236_1709733399000_1709733399000,456.7,62773841-83fc-4251-aa11-864a43545e15,212754490,0,A3,False,0,0,1,2337,IMPRESSIONS,623,PRINTED,,585,SHEETS,PSP- 130016693-Vinyl Sticker (UV Coating),585.0,Yellow,584.0,EF052Y84134FK3,Cyan,584.0,EF013Y9797W2UT,Magenta,585.0,EF033Y5936FI8V,Black,585.0,ef073y6567gdev,,,
47200165,IMP_2345392.pdf,Chicago,121,962,121,2024-03-06T13:17:44.000+00:00,2024-03-06T13:21:56.000+00:00,2024-03-06T13:17:44.000,2024-03-06T13:21:56.000,0,331,No,47200165_1714743_1709731001000_1709731001000,482.6,62773841-83fc-4251-aa11-864a43545e15,212754489,0,A3,True,0,0,1,961,IMPRESSIONS,252,PRINTED,,121,SHEETS,RLM-726813 -80# Uncoated Cover 13x19,121.0,Yellow,240.0,EF052Y84134FK3,Cyan,240.0,EF013Y9797W2UT,Magenta,241.0,EF033Y5936FI8V,Black,241.0,ef073y6567gdev,,,
47200165,IMP_2348252.pdf,Chicago,41,322,41,2024-03-06T13:21:50.000+00:00,2024-03-06T13:23:17.000+00:00,2024-03-06T13:21:50.000,2024-03-06T13:23:17.000,0,331,No,47200165_1714806_1709731397000_1709731397000,482.6,62773841-83fc-4251-aa11-864a43545e15,212754488,0,A3,True,0,0,1,321,IMPRESSIONS,87,PRINTED,,41,SHEETS,RLM-726813 -80# Uncoated Cover 13x19,41.0,Yellow,80.0,EF052Y84134FK3,Cyan,80.0,EF013Y9797W2UT,Magenta,81.0,EF033Y5936FI8V,Black,81.0,ef073y6567gdev,,,
47200165,IMP_2348641_PS.pdf,Chicago,23,222,23,2024-03-06T13:39:01.000+00:00,2024-03-06T13:40:15.000+00:00,2024-03-06T13:39:01.000,2024-03-06T13:40:15.000,0,305,No,47200165_1715054_1709732415000_1709732415000,457.2,62773841-83fc-4251-aa11-864a43545e15,212754487,0,A3,True,0,0,1,221,IMPRESSIONS,74,PRINTED,,23,SHEETS,RLM-726110-130# Uncoated Cover 12x18,23.0,Yellow,44.0,EF052Y84134FK3,P425CR,44.0,None,Black,45.0,ef073y6567gdev,Magenta,45.0,EF033Y5936FI8V,Cyan,44.0,EF013Y9797W2UT
