pressSerialNumber,jobName,siteName,copies,impressions,printedSheets,jobSubmitTime,jobCompleteTime,jobSubmitTimeLocalized,jobCompleteTimeLocalized,epmImpressions,width,useOfVDP,printedJobId,height,deviceId,marker,repeatLength,impressionsType,duplex,oneShotImpressions,impressions1Color,impressions2Colors,impressionsNColors,inkUnits,jobElapseTime,jobProgress,jobCollation,substrateUnits_value,substrateUnits_unit,substrates_1_name,substrates_1_amountUsed,substrates_2_name,substrates_2_amountUsed,substrates_3_name,substrates_3_amountUsed,substrates_4_name,substrates_4_amountUsed,inks_1_color,inks_1_amountUsed,inks_1_inkSerialNumber,inks_2_color,inks_2_amountUsed,inks_2_inkSerialNumber,inks_3_color,inks_3_amountUsed,inks_3_inkSerialNumber,inks_4_color,inks_4_amountUsed,inks_4_inkSerialNumber,inks_5_color,inks_5_amountUsed,inks_5_inkSerialNumber
47200165,11787866_130017133_JDF,Chicago,170,678,170,2024-03-05T10:48:00.000+00:00,2024-03-05T10:51:13.000+00:00,2024-03-05T10:48:00.000,2024-03-05T10:51:13.000,0,305,No,47200165_1705993_1709635873000_1709635873000,457.2,62773841-83fc-4251-aa11-864a43545e15,211597542,0,A3,False,0,0,1,677,IMPRESSIONS,193,PRINTED,,170,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),170.0,,,,,,,Yellow,169.0,EF052Y8413KTK2,Cyan,169.0,EF013Y9797TCGM,Magenta,170.0,EF033Y5936A8O7,Black,170.0,EF073Y6567PKLG,,,
47200165,11787600_130017133_JDF,Chicago,2,8,2,2024-03-05T10:51:07.000+00:00,2024-03-05T10:51:31.000+00:00,2024-03-05T10:51:07.000,2024-03-05T10:51:31.000,0,305,No,47200165_1706011_1709635891000_1709635891000,457.2,62773841-83fc-4251-aa11-864a43545e15,211597543,0,A3,False,0,0,0,8,IMPRESSIONS,24,ABORTED,,2,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),2.0,,,,,,,Yellow,2.0,EF052Y8413KTK2,Cyan,2.0,EF013Y9797TCGM,Magenta,2.0,EF033Y5936A8O7,Black,2.0,EF073Y6567PKLG,,,
47200165,11787602_130017133_JDF,Chicago,51,202,51,2024-03-05T10:44:38.000+00:00,2024-03-05T10:46:13.000+00:00,2024-03-05T10:44:38.000,2024-03-05T10:46:13.000,0,305,No,47200165_1705854_1709634932000_1709634932000,457.2,62773841-83fc-4251-aa11-864a43545e15,211597544,0,A3,False,0,0,1,201,IMPRESSIONS,95,PRINTED,,51,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),51.0,,,,,,,Yellow,50.0,EF052Y8413KTK2,Cyan,50.0,EF013Y9797TCGM,Magenta,51.0,EF033Y5936A8O7,Black,51.0,EF073Y6567PKLG,,,
47200165,11787600_130017133_JDF,Chicago,340,1360,340,2024-03-05T10:54:02.000+00:00,2024-03-05T11:00:53.000+00:00,2024-03-05T10:54:02.000,2024-03-05T11:00:53.000,0,305,No,47200165_1706011_1709635891000_1709635891000,457.2,62773841-83fc-4251-aa11-864a43545e15,211609041,0,A3,False,0,0,0,1360,IMPRESSIONS,411,ABORTED,,340,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),340.0,,,,,,,Yellow,340.0,EF052Y8413KTK2,Cyan,340.0,EF013Y9797TCGM,Magenta,340.0,EF033Y5936A8O7,Black,340.0,EF073Y6567PKLG,,,
47200165,11787600_130017133_JDF,Chicago,921,3682,921,2024-03-05T11:02:12.000+00:00,2024-03-05T11:19:38.000+00:00,2024-03-05T11:02:12.000,2024-03-05T11:19:38.000,0,305,No,47200165_1706011_1709635891000_1709635891000,457.2,62773841-83fc-4251-aa11-864a43545e15,211624648,0,A3,False,0,0,1,3681,IMPRESSIONS,1046,PRINTED,,921,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),921.0,,,,,,,Yellow,920.0,EF052Y8413KTK2,Cyan,920.0,EF013Y9797TCGM,Magenta,921.0,ef033y5936w3gk,Black,921.0,EF073Y6567PKLG,,,
47200165,11787601_130017133_JDF,Chicago,253,1010,253,2024-03-05T11:19:31.000+00:00,2024-03-05T11:24:21.000+00:00,2024-03-05T11:19:31.000,2024-03-05T11:24:21.000,0,305,No,47200165_1706374_1709637861000_1709637861000,457.2,62773841-83fc-4251-aa11-864a43545e15,211624649,0,A3,False,0,0,1,1009,IMPRESSIONS,290,PRINTED,,253,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),253.0,,,,,,,Yellow,252.0,EF052Y8413KTK2,Cyan,252.0,EF013Y9797TCGM,Magenta,253.0,ef033y5936w3gk,Black,253.0,EF073Y6567PKLG,,,
47200165,IMP_2347877_PS.pdf,Chicago,1,10,1,2024-03-05T11:24:15.000+00:00,2024-03-05T11:24:31.000+00:00,2024-03-05T11:24:15.000,2024-03-05T11:24:31.000,0,305,No,47200165_1706387_1709637871000_1709637871000,457.2,62773841-83fc-4251-aa11-864a43545e15,211624650,0,A3,True,0,0,0,10,IMPRESSIONS,16,ABORTED,,1,SHEETS,RLM-726110-130# Uncoated Cover 12x18,1.0,,,,,,,Yellow,2.0,EF052Y8413KTK2,P425CR,2.0,None,Black,2.0,EF073Y6567PKLG,Magenta,2.0,ef033y5936w3gk,Cyan,2.0,EF013Y9797TCGM
47200165,IMP_2347877_PS.pdf,Chicago,0,0,0,2024-03-05T11:26:05.000+00:00,2024-03-05T11:26:22.000+00:00,2024-03-05T11:26:05.000,2024-03-05T11:26:22.000,0,305,No,47200165_1706387_1709637871000_1709637871000,457.2,62773841-83fc-4251-aa11-864a43545e15,211624651,-1,A3,True,0,0,0,0,IMPRESSIONS,17,ABORTED,,,,,,,,,,,,,,,,,,,,,,,,,,
47200165,DBEEY7_130017133_JDF,Chicago,10,38,10,2024-03-05T11:31:23.000+00:00,2024-03-05T11:31:39.000+00:00,2024-03-05T11:31:23.000,2024-03-05T11:31:39.000,0,305,No,47200165_1706481_1709638299000_1709638299000,457.2,62773841-83fc-4251-aa11-864a43545e15,211629868,0,A3,False,0,0,1,37,IMPRESSIONS,16,PRINTED,,10,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),10.0,,,,,,,Yellow,9.0,EF052Y8413KTK2,Cyan,9.0,EF013Y9797TCGM,Magenta,10.0,ef033y5936w3gk,Black,10.0,EF073Y6567PKLG,,,
47200165,IMP_2345802.pdf,Chicago,0,0,0,2024-03-05T11:33:12.000+00:00,2024-03-05T11:33:21.000+00:00,2024-03-05T11:33:12.000,2024-03-05T11:33:21.000,0,330,No,47200165_1706543_1709638401000_1709638401000,482.6,62773841-83fc-4251-aa11-864a43545e15,211629869,-1,A3,False,0,0,0,0,IMPRESSIONS,9,ABORTED,,,,,,,,,,,,,,,,,,,,,,,,,,
47200165,DBEEY8_130017133_JDF,Chicago,10,38,10,2024-03-05T11:31:12.000+00:00,2024-03-05T11:31:29.000+00:00,2024-03-05T11:31:12.000,2024-03-05T11:31:29.000,0,305,No,47200165_1706471_1709638289000_1709638289000,457.2,62773841-83fc-4251-aa11-864a43545e15,211629870,0,A3,False,0,0,1,37,IMPRESSIONS,17,PRINTED,,10,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),10.0,,,,,,,Yellow,9.0,EF052Y8413KTK2,Cyan,9.0,EF013Y9797TCGM,Magenta,10.0,ef033y5936w3gk,Black,10.0,EF073Y6567PKLG,,,
47200165,DBEEY6_130017133_JDF,Chicago,42,166,42,2024-03-05T11:31:33.000+00:00,2024-03-05T11:32:26.000+00:00,2024-03-05T11:31:33.000,2024-03-05T11:32:26.000,0,305,No,47200165_1706498_1709638346000_1709638346000,457.2,62773841-83fc-4251-aa11-864a43545e15,211629871,0,A3,False,0,0,1,165,IMPRESSIONS,53,PRINTED,,42,SHEETS,PSP-130017133-Gloss Sticker Paper (No UV),42.0,,,,,,,Yellow,41.0,EF052Y8413KTK2,Cyan,41.0,EF013Y9797TCGM,Magenta,42.0,ef033y5936w3gk,Black,42.0,EF073Y6567PKLG,,,
47200165,IMP_2344251.pdf,Chicago,13,98,13,2024-03-05T11:30:41.000+00:00,2024-03-05T11:31:18.000+00:00,2024-03-05T11:30:41.000,2024-03-05T11:31:18.000,0,305,No,47200165_1706464_1709638278000_1709638278000,457.2,62773841-83fc-4251-aa11-864a43545e15,211629872,0,A3,True,0,0,1,97,IMPRESSIONS,37,PRINTED,,13,SHEETS,RLM-726110-130# Uncoated Cover 12x18,13.0,,,,,,,Yellow,24.0,EF052Y8413KTK2,Cyan,24.0,EF013Y9797TCGM,Magenta,25.0,ef033y5936w3gk,Black,25.0,EF073Y6567PKLG,,,
47200165,IMP_2347877_PS.pdf,Chicago,64,632,64,2024-03-05T11:26:58.000+00:00,2024-03-05T11:30:48.000+00:00,2024-03-05T11:26:58.000,2024-03-05T11:30:48.000,0,305,No,47200165_1706387_1709637871000_1709637871000,457.2,62773841-83fc-4251-aa11-864a43545e15,211629873,0,A3,True,0,0,1,631,IMPRESSIONS,230,PRINTED,,64,SHEETS,RLM-726110-130# Uncoated Cover 12x18,64.0,,,,,,,Yellow,126.0,EF052Y8413KTK2,P425CR,126.0,None,Black,127.0,EF073Y6567PKLG,Magenta,127.0,ef033y5936w3gk,Cyan,126.0,EF013Y9797TCGM
47200165,IMP_2345802.pdf,Chicago,2,8,2,2024-03-05T11:34:39.000+00:00,2024-03-05T11:35:10.000+00:00,2024-03-05T11:34:39.000,2024-03-05T11:35:10.000,0,330,No,47200165_1706543_1709638401000_1709638401000,482.6,62773841-83fc-4251-aa11-864a43545e15,211629874,0,A3,False,0,0,0,8,IMPRESSIONS,31,PRINTED,,2,SHEETS,PSP-130017036  70# Uncoated Text 13x19,2.0,,,,,,,Yellow,2.0,EF052Y8413KTK2,Cyan,2.0,EF013Y9797TCGM,Magenta,2.0,ef033y5936w3gk,Black,2.0,EF073Y6567PKLG,,,
47200165,IMP_2345802.pdf,Chicago,253,1010,253,2024-03-05T11:35:38.000+00:00,2024-03-05T11:40:34.000+00:00,2024-03-05T11:35:38.000,2024-03-05T11:40:34.000,0,330,No,47200165_1706543_1709638401000_1709638401000,482.6,62773841-83fc-4251-aa11-864a43545e15,211640027,0,A3,False,0,0,1,1009,IMPRESSIONS,296,PRINTED,,253,SHEETS,PSP-130017036  70# Uncoated Text 13x19,253.0,,,,,,,Yellow,252.0,EF052Y8413KTK2,Cyan,252.0,EF013Y9797TCGM,Magenta,253.0,ef033y5936w3gk,Black,253.0,EF073Y6567PKLG,,,
47200165,IMP_2345810.pdf,Chicago,2,16,2,2024-03-05T11:42:01.000+00:00,2024-03-05T11:42:34.000+00:00,2024-03-05T11:42:01.000,2024-03-05T11:42:34.000,0,330,No,47200165_1706607_1709638954000_1709638954000,482.6,62773841-83fc-4251-aa11-864a43545e15,211640034,0,A3,True,0,0,0,16,IMPRESSIONS,33,PRINTED,,2,SHEETS,PSP-130017036  70# Uncoated Text 13x19,2.0,,,,,,,Yellow,4.0,EF052Y8413KTK2,Cyan,4.0,EF013Y9797TCGM,Magenta,4.0,ef033y5936w3gk,Black,4.0,EF073Y6567PKLG,,,
47200165,IMP_2344989.pdf,Chicago,465,3720,465,2024-03-05T11:56:17.000+00:00,2024-03-05T12:12:30.000+00:00,2024-03-05T11:56:17.000,2024-03-05T12:12:30.000,0,330,No,47200165_1706815_1709640750000_1709640750000,482.6,62773841-83fc-4251-aa11-864a43545e15,211660513,0,A3,True,0,0,0,3720,IMPRESSIONS,973,ABORTED,,465,SHEETS,PSP-130017036  70# Uncoated Text 13x19,465.0,,,,,,,Yellow,930.0,EF052Y8413KTK2,Cyan,930.0,EF013Y9797TCGM,Magenta,930.0,ef033y5936w3gk,Black,930.0,ef073y6567j3t2,,,
47200165,GG_Maintenance List.pdf,Chicago,106,107,106,2024-03-05T12:12:24.000+00:00,2024-03-05T12:13:30.000+00:00,2024-03-05T12:12:24.000,2024-03-05T12:13:30.000,0,330,No,47200165_1706833_1709640810000_1709640810000,482.6,62773841-83fc-4251-aa11-864a43545e15,211675925,0,A3,False,0,105,1,1,IMPRESSIONS,66,PRINTED,,106,SHEETS,PSP-130017036  70# Uncoated Text 13x19,106.0,,,,,,,Magenta,1.0,ef033y5936w3gk,Black,106.0,ef073y6567j3t2,,,,,,,,,
47200165,IMP_2344989.pdf,Chicago,123,984,123,2024-03-05T12:13:24.000+00:00,2024-03-05T12:17:49.000+00:00,2024-03-05T12:13:24.000,2024-03-05T12:17:49.000,0,330,No,47200165_1706815_1709640750000_1709640750000,482.6,62773841-83fc-4251-aa11-864a43545e15,211675926,0,A3,True,0,0,0,984,IMPRESSIONS,265,ABORTED,,123,SHEETS,PSP-130017036  70# Uncoated Text 13x19,123.0,,,,,,,Yellow,246.0,EF052Y8413KTK2,Cyan,246.0,EF013Y9797TCGM,Magenta,246.0,ef033y5936w3gk,Black,246.0,ef073y6567j3t2,,,
47200165,IMP_2345810.pdf,Chicago,331,2642,331,2024-03-05T11:44:50.000+00:00,2024-03-05T11:56:24.000+00:00,2024-03-05T11:44:50.000,2024-03-05T11:56:24.000,0,330,No,47200165_1706607_1709638954000_1709638954000,482.6,62773841-83fc-4251-aa11-864a43545e15,211675927,0,A3,True,0,0,1,2641,IMPRESSIONS,694,PRINTED,,331,SHEETS,PSP-130017036  70# Uncoated Text 13x19,331.0,,,,,,,Yellow,660.0,EF052Y8413KTK2,Cyan,660.0,EF013Y9797TCGM,Magenta,661.0,ef033y5936w3gk,Black,661.0,ef073y6567j3t2,,,
47200165,IMP_2344989.pdf,Chicago,82,656,82,2024-03-05T12:30:21.000+00:00,2024-03-05T12:33:44.000+00:00,2024-03-05T12:30:21.000,2024-03-05T12:33:44.000,0,330,No,47200165_1706815_1709640750000_1709640750000,482.6,62773841-83fc-4251-aa11-864a43545e15,211675930,0,A3,True,0,0,0,656,IMPRESSIONS,203,ABORTED,,82,SHEETS,PSP-130017036  70# Uncoated Text 13x19,82.0,,,,,,,Yellow,164.0,EF052Y8413KTK2,Cyan,164.0,EF013Y9797TCGM,Magenta,164.0,ef033y5936w3gk,Black,164.0,ef073y6567j3t2,,,
47200165,11787599_130016693_JDF,Chicago,2,8,2,2024-03-05T12:51:14.000+00:00,2024-03-05T12:51:24.000+00:00,2024-03-05T12:51:14.000,2024-03-05T12:51:24.000,0,305,No,47200165_1707058_1709643084000_1709643084000,456.7,62773841-83fc-4251-aa11-864a43545e15,211691430,0,A3,False,0,0,0,8,IMPRESSIONS,10,PRINTED,,2,SHEETS,PSP- 130016693-Vinyl Sticker (UV Coating),2.0,,,,,,,Yellow,2.0,EF052Y8413KTK2,Cyan,2.0,EF013Y9797TCGM,Magenta,2.0,ef033y5936w3gk,Black,2.0,ef073y6567j3t2,,,
47200165,11787624_130016693_JDF,Chicago,91,362,91,2024-03-05T12:57:45.000+00:00,2024-03-05T12:59:27.000+00:00,2024-03-05T12:57:45.000,2024-03-05T12:59:27.000,0,305,No,47200165_1707140_1709643567000_1709643567000,456.7,62773841-83fc-4251-aa11-864a43545e15,211696809,0,A3,False,0,0,1,361,IMPRESSIONS,102,PRINTED,,91,SHEETS,PSP- 130016693-Vinyl Sticker (UV Coating),91.0,,,,,,,Yellow,90.0,EF052Y8413KTK2,Cyan,90.0,EF013Y9797TCGM,Magenta,91.0,ef033y5936w3gk,Black,91.0,ef073y6567j3t2,,,
47200165,IMP_2348168.pdf,Chicago,255,1018,255,2024-03-05T12:38:30.000+00:00,2024-03-05T12:43:01.000+00:00,2024-03-05T12:38:30.000,2024-03-05T12:43:01.000,0,330,No,47200165_1706957_1709642581000_1709642581000,482.6,62773841-83fc-4251-aa11-864a43545e15,211696810,0,A3,False,0,0,1,1017,IMPRESSIONS,271,PRINTED,,255,SHEETS,PSP-130017036  70# Uncoated Text 13x19,255.0,,,,,,,Yellow,254.0,EF052Y8413KTK2,Cyan,254.0,EF013Y9797TCGM,Magenta,255.0,ef033y5936w3gk,Black,255.0,ef073y6567j3t2,,,
47200165,11787830_130016693_JDF,Chicago,80,318,80,2024-03-05T12:56:20.000+00:00,2024-03-05T12:57:51.000+00:00,2024-03-05T12:56:20.000,2024-03-05T12:57:51.000,0,305,No,47200165_1707125_1709643471000_1709643471000,456.7,62773841-83fc-4251-aa11-864a43545e15,211696811,0,A3,False,0,0,1,317,IMPRESSIONS,91,PRINTED,,80,SHEETS,PSP- 130016693-Vinyl Sticker (UV Coating),80.0,,,,,,,Yellow,79.0,EF052Y8413KTK2,Cyan,79.0,EF013Y9797TCGM,Magenta,80.0,ef033y5936w3gk,Black,80.0,ef073y6567j3t2,,,
47200165,IMP_2344989.pdf,Chicago,111,882,111,2024-03-05T12:34:21.000+00:00,2024-03-05T12:38:36.000+00:00,2024-03-05T12:34:21.000,2024-03-05T12:38:36.000,0,330,No,47200165_1706815_1709640750000_1709640750000,482.6,62773841-83fc-4251-aa11-864a43545e15,211696812,0,A3,True,0,0,1,881,IMPRESSIONS,255,PRINTED,,111,SHEETS,PSP-130017036  70# Uncoated Text 13x19,111.0,,,,,,,Yellow,220.0,EF052Y8413KTK2,Cyan,220.0,EF013Y9797TCGM,Magenta,221.0,ef033y5936w3gk,Black,221.0,ef073y6567j3t2,,,
47200165,IMP_2347007.pdf,Chicago,253,1010,253,2024-03-05T12:44:04.000+00:00,2024-03-05T12:48:21.000+00:00,2024-03-05T12:44:04.000,2024-03-05T12:48:21.000,0,330,No,47200165_1707027_1709642901000_1709642901000,482.6,62773841-83fc-4251-aa11-864a43545e15,211696813,0,A3,False,0,0,1,1009,IMPRESSIONS,257,PRINTED,,253,SHEETS,PSP-130017036  70# Uncoated Text 13x19,253.0,,,,,,,Yellow,252.0,EF052Y8413KTK2,Cyan,252.0,EF013Y9797TCGM,Magenta,253.0,ef033y5936w3gk,Black,253.0,ef073y6567j3t2,,,
47200165,R2345068_PRINT.pdf,Chicago,160,638,160,2024-03-05T12:48:17.000+00:00,2024-03-05T12:51:10.000+00:00,2024-03-05T12:48:17.000,2024-03-05T12:51:10.000,0,330,No,47200165_1707048_1709643070000_1709643070000,482.6,62773841-83fc-4251-aa11-864a43545e15,211696814,0,A3,False,0,0,1,637,IMPRESSIONS,173,PRINTED,,160,SHEETS,PSP-130017036  70# Uncoated Text 13x19,160.0,,,,,,,Yellow,159.0,EF052Y8413KTK2,Cyan,159.0,EF013Y9797TCGM,Magenta,160.0,ef033y5936w3gk,Black,160.0,ef073y6567j3t2,,,
47200165,11787598_130016693_JDF,Chicago,72,286,72,2024-03-05T12:55:02.000+00:00,2024-03-05T12:56:26.000+00:00,2024-03-05T12:55:02.000,2024-03-05T12:56:26.000,0,305,No,47200165_1707109_1709643386000_1709643386000,456.7,62773841-83fc-4251-aa11-864a43545e15,211696815,0,A3,False,0,0,1,285,IMPRESSIONS,84,PRINTED,,72,SHEETS,PSP- 130016693-Vinyl Sticker (UV Coating),72.0,,,,,,,Yellow,71.0,EF052Y8413KTK2,Cyan,71.0,EF013Y9797TCGM,Magenta,72.0,ef033y5936w3gk,Black,72.0,ef073y6567j3t2,,,
47200165,11787699_130016693_JDF,Chicago,59,236,59,2024-03-05T12:59:21.000+00:00,2024-03-05T13:00:32.000+00:00,2024-03-05T12:59:21.000,2024-03-05T13:00:32.000,0,305,No,47200165_1707159_1709643632000_1709643632000,456.7,62773841-83fc-4251-aa11-864a43545e15,211696816,0,A3,False,0,0,0,236,IMPRESSIONS,71,ABORTED,,59,SHEETS,PSP- 130016693-Vinyl Sticker (UV Coating),59.0,,,,,,,Yellow,59.0,EF052Y8413KTK2,Cyan,59.0,EF013Y9797TCGM,Magenta,59.0,ef033y5936w3gk,Black,59.0,ef073y6567j3t2,,,
47200165,11787599_130016693_JDF,Chicago,30,118,30,2024-03-05T12:54:09.000+00:00,2024-03-05T12:55:08.000+00:00,2024-03-05T12:54:09.000,2024-03-05T12:55:08.000,0,305,No,47200165_1707058_1709643084000_1709643084000,456.7,62773841-83fc-4251-aa11-864a43545e15,211696817,0,A3,False,0,0,1,117,IMPRESSIONS,59,PRINTED,,30,SHEETS,PSP- 130016693-Vinyl Sticker (UV Coating),30.0,,,,,,,Yellow,29.0,EF052Y8413KTK2,Cyan,29.0,EF013Y9797TCGM,Magenta,30.0,ef033y5936w3gk,Black,30.0,ef073y6567j3t2,,,
47200165,11786084_chp.pdf,Chicago,701,2802,701,2024-03-05T13:04:43.000+00:00,2024-03-05T13:17:04.000+00:00,2024-03-05T13:04:43.000,2024-03-05T13:17:04.000,0,305,No,47200165_1707298_1709644624000_1709644624000,456.7,62773841-83fc-4251-aa11-864a43545e15,211712678,0,A3,False,0,0,1,2801,IMPRESSIONS,741,PRINTED,,701,SHEETS,PSP- 130016693-Vinyl Sticker (UV Coating),701.0,,,,,,,Yellow,700.0,EF052Y8413KTK2,Cyan,700.0,EF013Y9797TCGM,Magenta,701.0,ef033y5936w3gk,Black,701.0,ef073y6567j3t2,,,
47200165,IMP_2345883_PS.pdf,Chicago,23,222,23,2024-03-05T13:16:58.000+00:00,2024-03-05T13:18:17.000+00:00,2024-03-05T13:16:58.000,2024-03-05T13:18:17.000,0,305,No,47200165_1707316_1709644697000_1709644697000,457.2,62773841-83fc-4251-aa11-864a43545e15,211712679,0,A3,True,0,0,1,221,IMPRESSIONS,79,PRINTED,,23,SHEETS,RLM-726110-130# Uncoated Cover 12x18,23.0,,,,,,,Yellow,44.0,EF052Y8413KTK2,P425CR,44.0,None,Black,45.0,ef073y6567j3t2,Magenta,45.0,ef033y5936w3gk,Cyan,44.0,EF013Y9797TCGM
47200165,11787597_130016693_JDF,Chicago,130,518,130,2024-03-05T13:02:27.000+00:00,2024-03-05T13:04:49.000+00:00,2024-03-05T13:02:27.000,2024-03-05T13:04:49.000,0,305,No,47200165_1707209_1709643889000_1709643889000,456.7,62773841-83fc-4251-aa11-864a43545e15,211712680,0,A3,False,0,0,1,517,IMPRESSIONS,142,PRINTED,,130,SHEETS,PSP- 130016693-Vinyl Sticker (UV Coating),130.0,,,,,,,Yellow,129.0,EF052Y8413KTK2,Cyan,129.0,EF013Y9797TCGM,Magenta,130.0,ef033y5936w3gk,Black,130.0,ef073y6567j3t2,,,
47200165,11787699_130016693_JDF,Chicago,42,166,42,2024-03-05T13:01:18.000+00:00,2024-03-05T13:02:34.000+00:00,2024-03-05T13:01:18.000,2024-03-05T13:02:34.000,0,305,No,47200165_1707159_1709643632000_1709643632000,456.7,62773841-83fc-4251-aa11-864a43545e15,211712681,0,A3,False,0,0,1,165,IMPRESSIONS,76,PRINTED,,42,SHEETS,PSP- 130016693-Vinyl Sticker (UV Coating),42.0,,,,,,,Yellow,41.0,EF052Y8413KTK2,Cyan,41.0,EF013Y9797TCGM,Magenta,42.0,ef033y5936w3gk,Black,42.0,ef073y6567j3t2,,,
47200165,IMP_2345989.pdf,Chicago,2,8,2,2024-03-05T13:19:31.000+00:00,2024-03-05T13:20:02.000+00:00,2024-03-05T13:19:31.000,2024-03-05T13:20:02.000,0,331,No,47200165_1707334_1709644802000_1709644802000,483.0,62773841-83fc-4251-aa11-864a43545e15,211712682,0,A3,False,8,0,0,0,IMPRESSIONS,31,PRINTED,,2,SHEETS,RLM-716613- 60# Uncoated Text 13x19,2.0,,,,,,,Yellow,2.0,EF052Y8413KTK2,Cyan,2.0,EF013Y9797TCGM,Magenta,2.0,ef033y5936w3gk,Black,2.0,ef073y6567j3t2,,,
47200165,IMP_2345989.pdf,Chicago,101,402,101,2024-03-05T13:21:08.000+00:00,2024-03-05T13:23:19.000+00:00,2024-03-05T13:21:08.000,2024-03-05T13:23:19.000,0,331,No,47200165_1707334_1709644802000_1709644802000,483.0,62773841-83fc-4251-aa11-864a43545e15,211712683,0,A3,False,402,0,0,0,IMPRESSIONS,131,PRINTED,,101,SHEETS,RLM-716613- 60# Uncoated Text 13x19,101.0,,,,,,,Yellow,100.0,EF052Y8413KTK2,Cyan,100.0,EF013Y9797TCGM,Magenta,101.0,ef033y5936w3gk,Black,101.0,ef073y6567j3t2,,,
47200165,IMP_2348250_PS.pdf,Chicago,2,10,2,2024-03-05T13:23:50.000+00:00,2024-03-05T13:24:21.000+00:00,2024-03-05T13:23:50.000,2024-03-05T13:24:21.000,0,331,No,47200165_1707362_1709645061000_1709645061000,482.6,62773841-83fc-4251-aa11-864a43545e15,211712686,0,A3,False,0,0,0,10,IMPRESSIONS,31,PRINTED,,2,SHEETS,RLM-716809- 80# Uncoated Text 13x19,2.0,,,,,,,Yellow,2.0,EF052Y8413KTK2,P425CR,2.0,None,Black,2.0,ef073y6567j3t2,Magenta,2.0,ef033y5936w3gk,Cyan,2.0,EF013Y9797TCGM
47200165,IMP_2348343_PS.pdf,Chicago,253,1262,253,2024-03-05T13:34:45.000+00:00,2024-03-05T13:40:12.000+00:00,2024-03-05T13:34:45.000,2024-03-05T13:40:12.000,0,331,No,47200165_1707444_1709646012000_1709646012000,482.6,62773841-83fc-4251-aa11-864a43545e15,211727108,0,A3,False,0,0,1,1261,IMPRESSIONS,327,PRINTED,,253,SHEETS,RLM-716809- 80# Uncoated Text 13x19,253.0,,,,,,,Yellow,252.0,EF052Y8413KTK2,P425CR,252.0,None,Black,253.0,ef073y6567j3t2,Magenta,253.0,ef033y5936w3gk,Cyan,252.0,EF013Y9797TCGM
47200165,IMP_2345907.pdf,Chicago,2,8,2,2024-03-05T13:40:16.000+00:00,2024-03-05T13:40:26.000+00:00,2024-03-05T13:40:16.000,2024-03-05T13:40:26.000,0,331,No,47200165_1707454_1709646026000_1709646026000,482.6,62773841-83fc-4251-aa11-864a43545e15,211727109,0,A3,False,0,0,0,8,IMPRESSIONS,10,PRINTED,,2,SHEETS,RLM-724912- 100# velvet cover 13x19,2.0,,,,,,,Yellow,2.0,EF052Y8413KTK2,Cyan,2.0,EF013Y9797TCGM,Magenta,2.0,ef033y5936w3gk,Black,2.0,ef073y6567j3t2,,,
47200165,IMP_2348250_PS.pdf,Chicago,253,1262,253,2024-03-05T13:28:56.000+00:00,2024-03-05T13:34:51.000+00:00,2024-03-05T13:28:56.000,2024-03-05T13:34:51.000,0,331,No,47200165_1707362_1709645061000_1709645061000,482.6,62773841-83fc-4251-aa11-864a43545e15,211727110,0,A3,False,0,0,1,1261,IMPRESSIONS,355,PRINTED,,253,SHEETS,RLM-716809- 80# Uncoated Text 13x19,253.0,,,,,,,Yellow,252.0,EF052Y8413KTK2,P425CR,252.0,None,Black,253.0,ef073y6567j3t2,Magenta,253.0,ef033y5936w3gk,Cyan,252.0,EF013Y9797TCGM
